id,name,description
3365,Microsoft SQL Server 2014 Web on Windows Server 2012 RTM,AWS Marketplace
3366,Microsoft SQL Server 2017 Enterprise on Windows Server 2016,AWS Marketplace
3367,Microsoft SQL Server 2019 Express on Windows Server 2019,AWS Marketplace
3368,Microsoft System Center,"Server Monitoring, IT Service Management (ITSM) Tools, Data Center Infrastructure Management (DCIM), Application Performance Monitoring (APM), Network Monitoring, Network Security Policy Management (NSPM), Enterprise IT Management, Endpoint Management, Patch Management, Cloud Infrastructure Monitoring, Observability Solution Suites"
3369,Microsoft Teams Archiving Tool,Enterprise Information Archiving
3370,Microsoft Web Language Model API,Natural Language Understanding (NLU)
3371,Midas Care Management,"Disease Management, Utilization Management"
3372,Midas DataVision,Healthcare Analytics
3373,MightyFields,Construction Data Analytics
3374,MightyForms,"AI Sales Assistant, Online Form Builder, Survey, Lead Capture"
3375,MightySignal,"App Store Optimization, Mobile Marketing, Mobile App Analytics"
3376,Migrate Outlook,"Cloud Migration, Email Backup"
3377,MigrateEmails IMAP Backup Tool,Other Email
3378,MigrateEmails MySQL Database Repair Tool,File Recovery
3379,MikMak,"Store Locator, Multichannel Retail, E-Commerce Analytics, Social Commerce Platforms, Live Commerce"
3380,MileIQ,"Expense Management, Mileage Tracking"
3381,Milvus,"Vector Database, AWS Marketplace"
3382,MineOS,"Sensitive Data Discovery, Consent Management Platform (CMP), Cookie Tracking, Data Subject Access Request (DSAR), Data Privacy Management, Data Governance"
3383,Mingo,Other Cloud Integration
3384,MiniTool Partition Wizard,"Hard Drive Cloning, Hard Drive Partitioning"
3385,MiniTool Power Data Recovery,File Recovery
3386,MiniTool ShadowMaker,Server Backup
3387,Minitab Connect,"Data Governance, Data Preparation, ETL Tools, Data Visualization, Marketing Analytics, IoT Analytics Platforms, Big Data Integration Platforms, Data Warehouse, Data Extraction"
3388,Minitool Mac Data Recovery,File Recovery
3389,Mint,Tax Credit Providers
3390,Mintec,"Retail Pricing, Accounts Payable (AP) and Spend Analysis"
3391,MinuteBox,Entity Management
3392,Miovision Traffic Data,Other Video
3393,Miradore,"Enterprise Mobility Management, Mobile Device Management (MDM), Unified Endpoint Management (UEM)"
3394,Mirror Backup,"Online Backup, PC Backup"
3395,Miso.ai,Enterprise Search Software
3396,Mitchell \u0026 Associates,"Oracle Cloud Application Resellers, Oracle Database Resellers, Oracle JD Edwards EnterpriseOne Resellers, Oracle Consulting Services"
3397,Mnova MS,Statistical Analysis
3398,MoData,"Sales Analytics, Sales Performance Management, Revenue Operations \\u0026 Intelligence (RO\\u0026I)"
3399,MobiChord,Call Center Infrastructure (CCI)
3400,Mobile,Mobile Device Management (MDM)
3401,Mobile Proxy Data,Proxy Network
3402,MobileEngine,Image Recognition
3403,MobileFrame Asset Management,CMMS
3404,Mobito,Data Exchange Platforms
3405,Mobivity,"SMS Marketing, Retail Analytics, Mobile Marketing"
3406,Mockaroo,API Management
3407,ModMed,"EHR, Medical Practice Management, Revenue Cycle Management, Patient Engagement, Telemedicine"
3408,Mode,"Marketing Analytics, Embedded Business Intelligence, Analytics Platforms, Digital Analytics"
3409,Model N for Life Science,"Pharma and Biotech, Healthcare Commercial Intelligence, Healthcare Payer Care Management Workflow Applications, Provider Data Management (PDM), Healthcare Compliance"
3410,ModelOp,MLOps Platforms
3411,Modius OpenData,"IT Asset Management, Data Center Infrastructure Management (DCIM)"
3412,Modjo,Conversation Intelligence
3413,Mojro Executewyse,"Supply Chain Visibility, Returns Management"
3414,Mona,MLOps Platforms
3415,MondaySmart,Retail Intelligence
3416,Money Remit,Remittance \\u0026 Money Transfer
3417,Money.Net,Financial Research
3418,MongoDB,"Database Management Systems (DBMS), Document Databases, AWS Marketplace"
3419,MongoDB Atlas,"Database as a Service (DBaaS), Document Databases, Data Visualization"
3420,Mongotron,Database Management Systems (DBMS)
3421,MonkeyData,E-Commerce Analytics
3422,MonkeyLearn,"Text Analysis, Natural Language Understanding (NLU)"
3423,Monsido,"Digital Accessibility Platforms, Digital Governance, SEO Tools, Digital Analytics, Cookie Tracking, Consent Management Platform (CMP)"
3424,Monte Carlo,"Data Observability, DataOps Platforms, Database Monitoring"
3425,Monyog,Database Monitoring
3426,Moovit MaaS Solutions,Public Transportation
3427,Morning Farm Report,Precision Agriculture
3428,Morningstar Advisor Workstation,Investment Portfolio Management
3429,Morpheus Data,"Cloud Management Platforms, Cloud Platform as a Service (PaaS), Cloud Cost Management"
3430,Mortgage Dashboard,Mortgage CRM
3431,Mosaic Tech,"Corporate Performance Management (CPM), Budgeting and Forecasting, Financial Analysis"
3432,Mosaic.,Data Fabric
3433,Motigo,Other Public Relations
3434,Motiva AI,Other Marketing
3435,Motive Data Management Platform,Other Analytics
3436,Move,Oil and Gas Simulation and Modeling
3437,Movebot,"Cloud Migration, File Migration"
3438,Mover,"File Migration, Cloud Migration"
3439,Moz Pro,SEO Tools
3440,Mozart Data,"DataOps Platforms, ETL Tools, Data Warehouse, Data Observability"
3441,MuleSoft Anypoint Platform,"API Design, Message Queue (MQ), iPaaS, ETL Tools, API Management, API Marketplace, Electronic Data Interchange (EDI), Java Integrated Development Environments (IDE), API Platforms"
3442,MuleSoft Automation,"Robotic Process Automation (RPA), No-Code Development Platforms, Workflow Management, Digital Process Automation (DPA)"
3443,Mutiny HQ,"Personalization, Personalization Engines"
3444,MutualMind,Social Media Listening Tools
3445,My SEO Analytics + Dashboard App,Other Marketing
3446,My Smart Meeting - Meeting Management Tool,Meeting Management
3447,MyCarePlan,"Patient Intake, Patient Engagement, Disease Management"
3448,MyDash,Data Visualization
3449,MyDataProvider,Other Analytics
3450,MyInfo 7,Note-Taking Management
3451,MySQL 8 With RHEL 7,AWS Marketplace
3452,MySQL Backup,Database Backup
3453,MySQL Data Access Components,Component Libraries
3454,MySQL in Azure,Microsoft Consulting Services
3455,MySQLDumper,Database Backup
3456,MySQLMan,Database Management Systems (DBMS)
3457,MyTaskHelper,Relational Databases
3458,MyWorks Sync,"E-Commerce Data Integration, Order Management, Online Marketplace Optimization Tools"
3459,Mysql workbench,Database Management Systems (DBMS)
3460,N-able Risk Intelligence,"Threat Intelligence, Vulnerability Scanner, Sensitive Data Discovery"
3461,N.Rich,"Account-Based Advertising, Buyer Intent Data Providers, Account-Based Analytics, Account Data Management, Retargeting, Display Advertising"
3462,NAKIVO Backup \u0026 Replication,"Data Replication, Database Backup, Server Backup, Online Backup, SaaS Backup, Backup Solution Suites"
3463,NAVEX ESG,"Sustainability Management, Environmental, Social, and Governance (ESG) Reporting"
3464,NCache,Web Server Accelerator
3465,NETePay Hosted,"Payment Gateways, Payment Processing, Enterprise Payment"
3466,NGSurvey,Survey
3467,NL API,"Natural Language Understanding (NLU), Text Analysis"
3468,NLP Lab,Data Labeling
3469,NLTK,Natural Language Understanding (NLU)
3470,NSF Merge,Other Email
3471,NSFOCUS Web Application Firewall,Web Application Firewall (WAF)
3472,NTFS Recovery,File Recovery
3473,NTT Cloud UC (formerly Arkadin Anywhere),Video Conferencing
3474,NTT DATA Consulting Services,"ServiceNow Consulting Services, Oracle Database Resellers, Oracle Cloud Application Resellers, NetSuite Resellers, Pegasystems Consulting, FinancialForce Consulting, Oracle Consulting Services, Salesforce Consulting Services"
3475,NTT Data Desktop Engineering Services,Managed Workplace Services (MWS)
3476,NTT Data Service Desk,Managed Workplace Services (MWS)
3477,NVIDIA Deep Learning GPU Training System (DIGITS),"Image Recognition, Artificial Neural Network, AWS Marketplace"
3478,NVMe Storage,All-Flash Arrays (AFA)
3479,NVivo,"Text Analysis, Data Visualization"
3480,NWEA MAP Suite,Assessment
3481,Narrative,"Data Exchange Platforms, Identity Resolution"
3482,Nasdaq IR Insight,"Financial Analytics, Investor Relationship Management, Investor Reporting, Financial Research"
3483,Nasdaq Metrio,"Sustainability Management, Environmental, Social, and Governance (ESG) Reporting"
3484,Nasuni,"Cloud File Storage, Hybrid Cloud Storage Solutions, Disaster Recovery"
3485,NativeSlides,"Presentation, Survey"
3486,NativeTasks,Task Management
3487,Navatom,Other Marine
3488,Navicat Monitor,"Database Monitoring, Server Monitoring"
3489,Navicat Premium,"Database Management Systems (DBMS), SQL Integrated Development Environments (IDE)"
3490,Navicat for MongoDB,Other IT Infrastructure
3491,Navisworks,Building Design and Building Information Modeling (BIM)
3492,Near Data Intelligence Platform,"Visitor Behavior Intelligence, Location Intelligence, Audience Intelligence Platforms"
3493,Nearpod,"Digital Learning Platforms, Assessment, Classroom Management"
3494,Neo People Human Resource Software,"Core HR, Human Resource Management Systems"
3495,Neo4j Graph Data Science,"Data Science and Machine Learning Platforms, Machine Learning, Predictive Analytics"
3496,Neo4j Graph Database,"Graph Databases, Database Management Systems (DBMS), Database as a Service (DBaaS)"
3497,NeoDove,Outbound Call Tracking
3498,Neoffice,"Desk Booking, Space Management, Meeting Room Booking Systems, Visitor Management"
3499,Nest Forms,Survey
3500,Net@Suite,Meter Data Management Systems
3501,NetApp Backup and Recovery,"Server Backup, Data Replication"
3502,NetApp Cloud Assessment Tool,Cloud Migration Assessment Tools
3503,NetApp Cloud Compliance,"Data Privacy Management, Cloud Compliance"
3504,NetApp Cloud Insights,"Server Monitoring, Hardware Monitoring, Database Monitoring, Cloud Infrastructure Monitoring, Network Monitoring, Application Performance Monitoring (APM), Enterprise Monitoring, Observability Solution Suites"
3505,NetApp Cloud Volumes ONTAP,"Cloud Infrastructure Automation, Cloud Infrastructure Monitoring, Online Backup, File Recovery, Cloud Workload Protection Platforms, Cloud File Storage, Block Storage, Hybrid Cloud Storage Solutions, Archive Storage Solutions, Cloud Migration, File Migration, Database as a Service (DBaaS), Cloud Content Collaboration, Cloud Platform as a Service (PaaS), Cloud Cost Management"
3506,NetApp Data Fabric,Data Fabric
3507,NetApp Data Infrastructure Management,Data Center Infrastructure Management (DCIM)
3508,NetApp E-Series,Network Attached Storage (NAS)
3509,NetApp HCI,"Hyperconverged Infrastructure (HCI) Solutions, Infrastructure as a Service (IaaS)"
3510,NetApp Open Systems SnapVault (OSSV),Archive Storage Solutions
3511,NetApp Private Storage for Cloud,Hybrid Cloud Storage Solutions
3512,NetClose by Netgain,Financial Close
3513,NetFlow Analyzer,"Network Monitoring, Network Traffic Analysis (NTA)"
3514,NetHunt CRM,"Google Workspace for Sales, Lead Capture, Email Tracking, CRM, Email Marketing, Google Workspace Business Tools"
3515,NetLine Corporation,"Lead Capture, Buyer Intent Data Providers"
3516,NetNut Proxy Network,"Proxy Network, Data Extraction, Web Data Providers"
3517,NetSpot Pro,Survey
3518,NetThunder Modules,Hyperconverged Infrastructure (HCI) Solutions
3519,NetVault Backup,Server Backup
3520,NetWitness Platform,"Extended Detection and Response (XDR) Platforms, Network Detection and Response (NDR), User and Entity Behavior Analytics (UEBA), Security Orchestration, Automation, and Response (SOAR), Security Information and Event Management (SIEM)"
3521,Netcore Customer Engagement and Experience Platform,"Marketing Platforms, Geofencing, SMS Marketing, Personalization, Personalization Engines, Push Notification, Digital Adoption Platform, E-Commerce Personalization, Customer Data Platform (CDP), A/B Testing, Marketing Analytics, Mobile App Analytics, Mobile Marketing, Marketing Automation, Customer Journey Analytics, Customer Journey Mapping, Proactive Notification"
3522,Netcore Unbxd PIM,"Product Information Management (PIM), PLM, Digital Asset Management, Catalog Management"
3523,Netformx KnowledgeXpert,Catalog Management
3524,Netgear Switches,Data Center Switches
3525,Nethone,"E-commerce Fraud Protection, Fraud Detection"
3526,Netradyne,Fleet Management
3527,Netreo,"Observability Solution Suites, Enterprise Monitoring, Server Monitoring, AIOps Platforms, Database Monitoring, Cloud Infrastructure Monitoring, IT Alerting, Application Performance Monitoring (APM), Network Monitoring"
3528,Netskope,"Cloud Edge Security, Cloud Access Security Broker (CASB), Data Loss Prevention (DLP), Secure Web Gateways, Zero Trust Networking, SaaS Security Posture Management (SSPM) Solutions"
3529,Netvibes,"Social Media Listening Tools, Social Media Analytics"
3530,Network Traffic Simulator,"Load Testing Tools, Software Testing"
3531,Netwrix Auditor,"Insider Threat Management (ITM), Data-Centric Security, Data Governance"
3532,Netwrix Enterprise Auditor (formerly StealthAUDIT),"Data-Centric Security, Master Data Management (MDM)"
3533,Netwrix Threat Manager (formerly StealthDEFEND),"Incident Response, User and Entity Behavior Analytics (UEBA), Cloud File Security"
3534,Neural Designer,"Predictive Analytics, Data Science and Machine Learning Platforms"
3535,NeuroTags,"Brand Protection, Customer Data Platform (CDP), Loyalty Management, Marketing Automation, Warranty Management"
3536,NeuroWarranty,Warranty Management
3537,Neuron360,"Market Intelligence, Lead Intelligence, Data as a Service (DaaS)"
3538,Neustar IP Intelligence,"Location-Based Marketing, Visitor Identification, E-commerce Fraud Protection, IP Address Intelligence"
3539,NewsAPI.ai,Web Data Providers
3540,NewsData.io News API,Web Data Providers
3541,Newton,Search Advertising
3542,Nexenta Storage Solutions,Runtime
3543,Nexis Newsdesk,"Media and Influencer Targeting, Media Monitoring, PR Analytics"
3544,Nexla,"DataOps Platforms, Event Stream Processing, Cloud Migration, Big Data Integration Platforms, Stream Analytics, Database as a Service (DBaaS), Big Data, ETL Tools, Reverse ETL, Active Metadata Management, iPaaS, On-Premise Data Integration"
3545,Next Generation Firewalls (NGFW),"Network Traffic Analysis (NTA), Network Management Tools"
3546,Next-Cart,E-Commerce Tools
3547,NextCRM,CRM
3548,NextLevelFan,Event Registration \\u0026 Ticketing
3549,Nfina Technologies,Managed Security Services (MSSP)
3550,Nielsen Ad Intel,Digital Advertising Intelligence
3551,Nielsen Marketing Cloud,"Marketing Automation, Marketing Analytics, Marketing Platforms"
3552,NightPro,Venue Management
3553,Nightfall AI,"Data Loss Prevention (DLP), Cloud Data Security, Sensitive Data Discovery"
3554,Nimbello,"AP Automation, Invoice Management"
3555,NinjaCat,"Marketing Analytics, Data Visualization, ETL Tools"
3556,Ninox,"Workplace Innovation Platforms, No-Code Development Platforms, Desktop Database, Database as a Service (DBaaS), Low-Code Development Platforms"
3557,Nintex DocGen for Salesforce (formerly Drawloop),"Proposal, Document Generation, Salesforce CRM Document Generation"
3558,Nipendo,"Supplier Relationship Management (SRM), Accounts Payable (AP) and Spend Analysis, Procure to Pay, AP Automation, Business Process Management"
3559,Nirvana,"Data Replication, Data Extraction, Other Development, iPaaS, ETL Tools"
3560,Nlyte,"IT Asset Management, Data Center Infrastructure Management (DCIM), ServiceNow Store Apps"
3561,No Duplicate | Duplicate Management for Salesforce,Salesforce AppExchange Apps
3562,NoFraud,"Fraud Detection, E-commerce Fraud Protection"
3563,NoLimit,Social Media Analytics
3564,NoRedInk,"Digital Learning Platforms, Study Tools"
3565,Noction Flow Analyzer,Network Traffic Analysis (NTA)
3566,Node,Data Visualization
3567,Noggin,"Emergency Management, Critical Event Management (CEM) Platforms, Business Continuity Management, Operational Risk Management"
3568,Noloco,No-Code Development Platforms
3569,Nomad,Container Orchestration
3570,Nomis,Credit and Collections
3571,NooBaa Hybrid Cloud,Hybrid Cloud Storage Solutions
3572,NordLocker,"Encryption, Cloud Data Security"
3573,Northspyre,"Construction Data Analytics, Real Estate Investment Management, Bid Management"
3574,Nosto,"Personalization Engines, E-Commerce Personalization, A/B Testing, E-Merchandising, User-Generated Content, Social Commerce Platforms, E-Commerce Search"
3575,NotMe Solutions,"Whistleblowing, Investigation Management, HR Case Management"
3576,Notaku,Web Design
3577,Noteable,"Analytics Platforms, Python Integrated Development Environments (IDE)"
3578,Notify Technology,"Construction Risk Assessment Software, Occupational Health and Safety (OHS), Environmental Health and Safety, Inspection Management"
3579,Nova,Email Tracking
3580,NovaStor DataCenter,"Hard Drive Cloning, Server Backup"
3581,Novaon AutoAds,"Search Advertising, Retargeting"
3582,Novarete,Employee Engagement
3583,Novisto,"Sustainability Management, Environmental, Social, and Governance (ESG) Reporting"
3584,NowCerts,Insurance Agency Management Systems
3585,NuPIC,Machine Learning
3586,Nucleon Database Manager,Database Management Systems (DBMS)
3587,Nucleus,Food Traceability
3588,Numerated,Loan Origination
3589,Numeric,Financial Close
3590,Numetric,Other Transportation
3591,NuoDB,Relational Databases
3592,NuovoTeam,"Business Instant Messaging, Field Service Management, Push-To-Talk (PTT)"
3593,Nuxeo Platform,"Digital Asset Management, Document Management"
3594,OAK!Merge,Database Management Systems (DBMS)
3595,OBIX Perinatal Data System,Other Health Care
3596,OBS - Live Streaming Server for Windows 2016,AWS Marketplace
3597,ODBC Driver for ASE,Enterprise Service Bus (ESB)
3598,ODBC driver for MySQL,Enterprise Service Bus (ESB)
3599,ODBC driver for Oracle,On-Premise Data Integration
3600,ODK,"Mobile Forms Automation, Survey"
3601,OMNI,Robotic Process Automation (RPA)
3602,OMP Unison Planning,Sales \\u0026 Ops Planning
3603,OMS+,"Order Management, SAP Store"
3604,ON24,"Virtual Event Platforms, Content Experience Platforms, Webinar"
3605,ONE by AOL: Advertisers,"Cross-Channel Advertising, Display Advertising, Mobile Advertising, Video Advertising"
3606,ONTAP Data Management Software,Master Data Management (MDM)
3607,ONTAP Select,Hybrid Cloud Storage Solutions
3608,OPALS,Library Management Systems
3609,OPENRDA,ERP Systems
3610,ORM Technologies,"Marketing Analytics, Attribution, Account Data Management, Account-Based Analytics, Sales Analytics, AI Sales Assistant, Sales Performance Management"
3611,ORX,Game Engine
3612,OSForensics,eDiscovery
3613,OSLC Connect for Jira,Other Development
3614,OST To PST Conversion,Other Email
3615,OST to PST Converter- V Software,File Converter
3616,OST to PST Recovery,Other Development
3617,OWOX BI,"E-Commerce Analytics, Marketing Analytics"
3618,Obenan,Local SEO
3619,ObjectBox,Object-Oriented Databases
3620,ObservePoint,"Tag Management Systems, Digital Governance, Content Analytics, Mobile App Analytics, Data Governance, Cookie Tracking"
3621,OceanX,"Order Management, 3PL"
3622,Ocrolus,"Digital Process Automation (DPA), Fraud Detection, OCR, Intelligent Document Processing (IDP), Identity Verification"
3623,Octane11,"Account-Based Orchestration Platforms, Account-Based Analytics, Marketing Account Intelligence, Account Data Management, Lead Intelligence, Marketing Analytics"
3624,Octopai,"Active Metadata Management, Data Management Suites, Sensitive Data Discovery, Master Data Management (MDM)"
3625,Octoparse,OCR
3626,Octopart,CAD Libraries
3627,Octopus RPA,Robotic Process Automation (RPA)
3628,Odaseva,"Disaster Recovery, Data Governance, SaaS Backup, Salesforce AppExchange Apps, Enterprise Information Archiving"
3629,Odoo Marketing Automation,Marketing Automation
3630,Offensity,"Vulnerability Scanner, Exposure Management Platforms, Attack Surface Management"
3631,OfferCraft,Gamification
3632,Office 365 Reports,User Provisioning and Governance Tools
3633,OfficeRnD Flex,"Desk Booking, Property Management, Meeting Room Booking Systems"
3634,OfficeSpace Software,"Desk Booking, Space Management, Meeting Room Booking Systems, Hybrid Enablement"
3635,OfficeTools by CARET,"Accounting Practice Management, Billing"
3636,Oil Country OS,Oil and Gas Asset Management
3637,Oliver POS,Retail POS
3638,Omatic Software,"On-Premise Data Integration, iPaaS"
3639,Omeda,"Customer Data Platform (CDP), Email Marketing, Subscription Management"
3640,Omni Analytics,"Analytics Platforms, Data Visualization, Embedded Business Intelligence"
3641,Omni Intelligence,"Data Visualization, Genesys AppFoundry Marketplace"
3642,OmniGraffle,"Diagramming, Wireframing"
3643,OmniPCX Office RCE,Communication Platform as a Service
3644,Omnia Retail,"Pricing, Retail Pricing"
3645,Omnilytics,"Retail Analytics, Retail Intelligence"
3646,Omniscope Evo,"Data Preparation, Big Data Analytics, Embedded Business Intelligence, Analytics Platforms, ETL Tools"
3647,Omnishield by MyDigitalShield,"Cloud Data Security, Intrusion Detection and Prevention Systems (IDPS), Firewall Software"
3648,Omnitail,"Marketing Analytics Services, Social Media Marketing (SMM) Companies, PPC Services, Digital Marketing, Shopify Marketing Experts, Amazon Marketing Services"
3649,Omnizon B2B/EDI Integration Platform,Electronic Data Interchange (EDI)
3650,On-Site Service and Maintenance,Other B2B Services
3651,On2Air,Project Management Tools
3652,OnArrival,Event Registration \\u0026 Ticketing
3653,OnBase,"HR Service Delivery, AP Automation, Low-Code Development Platforms, Business Process Management, Enterprise Content Management (ECM), Document Management"
3654,OnCommand Cloud Manager,Cloud Management Platforms
3655,OnVUE,Online Proctoring
3656,Onclusive,"Influencer Marketing Platforms, Media Monitoring, Media and Influencer Targeting, PR Analytics, Social Media Analytics, Social Media Listening Tools, PR CRM, Online Newsroom"
3657,Oncora Medical,Electronic Data Capture (EDC)
3658,Oncord,"Website Builder, Web Content Management, Shopping Cart, Marketing Automation"
3659,Ondato,"Identity Verification, Biometric Authentication, Anti Money Laundering, Age Verification"
3660,One Charts,Data Visualization
3661,One Data Cartography,Data Fabric
3662,OneDirect Feedback Cloud,Enterprise Feedback Management
3663,OneDrive Backup Software,Email Backup
3664,OneHash CRM,"CRM, Workforce Management, Payroll, Accounting, Sales Compensation, ERP Systems, Onboarding"
3665,OneNeck IT Solutions,"Vulnerability Assessment Services, Threat Intelligence Services, Network Security Services, Managed Security Services (MSSP), IT Compliance Services, Incident Response Services, Endpoint Security Services, Data Security Services, Application Security Services, Microsoft Office 365 Resellers, Microsoft Azure Resellers, Cisco Unified Communications Resellers, Cisco Hardware Resellers, IT Strategy Consulting, IT Infrastructure Consulting, Digital Transformation Consulting, Cybersecurity Consulting, Cloud Consulting, IT Outsourcing, Data Center Infrastructure"
3666,OnePager,Project Management Tools
3667,OnePoint HCM,"Applicant Tracking Systems (ATS), Payroll, Workforce Management, Core HR"
3668,OneSchema,"Data Exchange Platforms, Electronic Data Interchange (EDI), Data Quality, Data Preparation, Data Extraction"
3669,OneTimePIM,Product Information Management (PIM)
3670,OneTrust Privacy and Data Governance Cloud,"Data Privacy Management, Privacy Impact Assessment (PIA), Data Subject Access Request (DSAR), Privacy Policy Generator, Sensitive Data Discovery, Consent Management Platform (CMP), Cookie Tracking, Vendor Security and Privacy Assessment, Data Governance"
3671,Onehub,"Client Portal, Cloud File Storage, Virtual Data Room, Cloud Content Collaboration, Enterprise Content Management (ECM)"
3672,Onlime,Cloud Content Collaboration
3673,OnlineCRF,Electronic Data Capture (EDC)
3674,Onna,"Sensitive Data Discovery, eDiscovery, Enterprise Search Software, Legal Hold"
3675,Onollo,Social Media Management
3676,Onshape,"CAD Viewers, Product Data Management (PDM), 3D Printing, Mechanical Computer-aided Design (MCAD), General-Purpose CAD, PLM, Simulation \\u0026 CAE, Sketching, PCB Design"
3677,Ontic,"Dark Web Monitoring, Physical Security, Protective Intelligence Platforms"
3678,Ontrack Easy Controls,IBM Storage VARs
3679,Onyx CRM,CRM
3680,Opcenter RD\u0026L,"Quality Management (QMS), Specification Management"
3681,Open Studio for Data Integration,ETL Tools
3682,Open Studio for ESB,Enterprise Service Bus (ESB)
3683,Open Text Magellan,"Data Science and Machine Learning Platforms, Analytics Platforms, Predictive Analytics, Statistical Analysis, Text Analysis"
3684,Open mHealth,Healthcare Analytics
3685,OpenBOM,"PLM, Product Data Management (PDM)"
3686,OpenBlender,Machine Learning
3687,OpenClinica,Electronic Data Capture (EDC)
3688,OpenComp,Compensation Management
3689,OpenDDL,Gaming Tools
3690,OpenDrive,"Online Backup, PC Backup"
3691,OpenIO Object Storage,Object Storage Solutions
3692,OpenLayers,Other Development Services
3693,OpenManage Network Manager,Data Center Networking
3694,OpenOffice Base,Desktop Database
3695,OpenRefine,Data Quality
3696,OpenStack,"Cloud Management Platforms, Infrastructure as a Service (IaaS)"
3697,OpenTerra,Location Intelligence
3698,OpenText BizManager,"Enterprise Service Bus (ESB), Managed File Transfer (MFT)"
3699,OpenText Business Network Cloud EDI,Electronic Data Interchange (EDI)
3700,OpenText Comparex,Version Control Clients
3701,OpenText Data Protector,"Server Backup, Disaster Recovery"
3702,OpenText Database Connectors,Other IT Infrastructure
3703,OpenText EnCase Information Assurance,"Sensitive Data Discovery, Legal Hold"
3704,OpenText InfoArchive,Archive Storage Solutions
3705,OpenText Operations Bridge (OpsBridge),"Enterprise Monitoring, AIOps Platforms, Database Monitoring, Digital Experience Monitoring (DEM), Cloud Infrastructure Monitoring, IT Alerting, Container Monitoring, Log Analysis, Incident Management, Application Performance Monitoring (APM)"
3706,OpenText Security Open Data Platform (SODP),Cloud Security Monitoring and Analytics
3707,OpenText Voltage SecureData Enterprise,"Database Security, Data Masking"
3708,OpenText ZENworks Endpoint Security Management,Endpoint Management
3709,OpenText Zenworks Asset Management,"Software Asset Management Tools, IT Asset Management"
3710,OpenText™ Vertica™,"Big Data Processing and Distribution, Data Warehouse, Columnar Databases"
3711,OpenViz,Embedded Business Intelligence
3712,OpenWorks,Oil and Gas Asset Management
3713,OpenXava,Java Web Frameworks
3714,OpendTect,Geology and Seismic
3715,Openprise,"Lead-to-Account Matching and Routing, Customer Data Platform (CDP), Account Data Management, Attribution, Data Quality"
3716,Operative.One,Supply Side Platform (SSP)
3717,Opero Documents,Salesforce CRM Document Generation
3718,OpsGuru,"Cloud Migration Services, Amazon Web Services Channel Partners, Microsoft Consulting Services, Google Consulting Services, AWS Consulting Services"
3719,OpsHub Migration Manager,File Migration
3720,Opster,Database as a Service (DBaaS)
3721,Opsware Data,"Data Privacy Management, Data Subject Access Request (DSAR), Sensitive Data Discovery"
3722,Optima,Other Hospitality
3723,OptimalCloud,"Customer Identity and Access Management (CIAM), Multi-Factor Authentication (MFA), Identity and Access Management (IAM), Single Sign-On (SSO), Patient Identity Resolution"
3724,Optimaps,Project Management
3725,Optimizely Web Experimentation,"Feature Management, Personalization Engines, E-Commerce Personalization, Customer Data Platform (CDP), A/B Testing, Configuration Management"
3726,Optimove,"Customer Data Platform (CDP), Customer Journey Analytics, Marketing Analytics, Marketing Automation, Marketing Platforms"
3727,Optmyzr,"Search Advertising, Mobile Advertising"
3728,Optosys,Optometry
3729,Optum Health Care Advisor,"Healthcare Analytics, Value-Based Performance Management Analytics, Population Health Management"
3730,Optymyze,"Sales Performance Management, Sales Compensation, Sales Analytics"
3731,Opvia,"Scientific Data Management System (SDMS), Lab Inventory Management, Standard Operating Procedures, Medical QMS, Electronic Lab Notebook (ELN), Quality Management (QMS), LIMS"
3732,Oracle APEX 19c with ORDS 19.1 for Amazon Oracle RDS on CentOS 7,AWS Marketplace
3733,Oracle Application Express,"Low-Code Development Platforms, Application Development Platforms"
3734,Oracle Audit Vault and Database Firewall,Database Security
3735,Oracle Autonomous Data Warehouse,"Data Warehouse, Data Warehouse Automation"
3736,Oracle Autonomous Transaction Processing,Workload Automation
3737,Oracle Big Data Cloud Service,Big Data Processing and Distribution
3738,Oracle Big Data Preparation Cloud Service,Data Preparation
3739,Oracle Clinical,Electronic Data Capture (EDC)
3740,Oracle Cloud Data Management,Data Management Suites
3741,Oracle Cloud Infrastructure Archive Storage Classic,Archive Storage Solutions
3742,Oracle Cloud Infrastructure Database Management,"Database Monitoring, Database Management Systems (DBMS)"
3743,Oracle Cloud Infrastructure Object Storage,Object Storage Solutions
3744,Oracle Cloud Infrastructure Storage Gateway,"Cloud File Storage, Hybrid Cloud Storage Solutions, On-Premise Data Integration"
3745,Oracle Cloud Infrastructure Streaming,Event Stream Processing
3746,Oracle Cloud Infrastructure Tagging,Data Center Infrastructure Management (DCIM)
3747,Oracle Cloud Infrastructure Vault,Encryption Key Management
3748,Oracle Cloud Platform Data Management,Other Product Suites
3749,Oracle Data Access Components,Component Libraries
3750,Oracle Data Cloud,"Data Management Platform (DMP), Marketing Analytics"
3751,Oracle Data Hub Cloud Service,Database Management Systems (DBMS)
3752,Oracle Data Integrator,"On-Premise Data Integration, ETL Tools"
3753,Oracle Data Masking and Subsetting,"Database Security, Data Masking"
3754,Oracle Data Quality,Data Quality
3755,Oracle Data Safe,"Database Security, Data Masking, Sensitive Data Discovery"
3756,Oracle DataRaker,Meter Data Management Systems
3757,Oracle Database,"Relational Databases, Database as a Service (DBaaS)"
